Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
1,1503014,"Carlsen, Magnus",GM,Norway,2845,,1990,,,OSG Baden-Baden,230
2,2020009,"Caruana, Fabiano",GM,USA,2828,,1992,,,,987
3,8603677,"Ding, Liren",GM,China,2812,,1992,,,,144
4,4100018,"Kasparov, Garry",GM,Russia,2812,,1963,i,,,10
5,24116068,"Giri, Anish",GM,Netherlands,2797,,1994,,,Schachgesellschaft S,238
6,13401319,"Mamedyarov, Shakhriyar",GM,Azerbaijan,2790,,1985,,,,190
7,11000000011,"Fischer, Robert James",GM,USA,2785,,1943,i,,,0
8,5000017,"Anand, Viswanathan",GM,India,2779,,1969,,,OSG Baden-Baden,145
9,623539,"Vachier-Lagrave, Maxime",GM,France,2775,,1990,,,OSG Baden-Baden,289
10,4126025,"Grischuk, Alexander",GM,Russia,2771,,1983,,,,158
11,4168119,"Nepomniachtchi, Ian",GM,Russia,2771,,1990,,,,169
12,5202213,"So, Wesley",GM,USA,2762,,1993,,,,163
13,13300474,"Aronian, Levon",GM,Armenia,2761,,1982,,,OSG Baden-Baden,223
14,8603820,"Yu, Yangyi",GM,China,2761,,1994,,,,165
15,13400924,"Radjabov, Teimour",GM,Azerbaijan,2756,,1987,,,,126
16,4101588,"Kramnik, Vladimir",GM,Russia,2753,,1975,,,,109
17,14109603,"Karjakin, Sergey",GM,Russia,2753,,1990,,,,178
18,2016192,"Nakamura, Hikaru",GM,USA,2746,,1987,,,Missouri,204
19,2900084,"Topalov, Veselin",GM,Bulgaria,2740,,1975,,,,83
20,3503240,"Dominguez Perez, Leinier",GM,USA,2739,,1983,i,,,135
21,309095,"Navara, David",GM,Czech Republic,2739,,1985,,,Schachverein Muelhei,327
22,738590,"Rapport, Richard",GM,Hungary,2738,,1996,,,OSG Baden-Baden,221
23,4102142,"Svidler, Peter",GM,Russia,2737,,1976,,,OSG Baden-Baden,237
24,13400630,"Gashimov, Vugar",GM,Azerbaijan,2737,,1986,i,,,96
25,24101605,"Artemiev, Vladislav",GM,Russia,2736,,1998,,,Sfr. Bad Emstal/Wolf,96
26,8603405,"Wei, Yi",GM,China,2733,,1999,,,,129
27,2004887,"Shankland, Samuel",GM,USA,2731,,1991,,,SV Hockenheim,124
28,8601445,"Bu, Xiangzhi",GM,China,2731,,1985,,,,185
29,1170546,"Duda, Jan-Krzysztof",GM,Poland,2731,,1998,,,MKS MOS Wieliczka,104
30,5007003,"Harikrishna, Pentala",GM,India,2730,,1986,,,Schachgesellschaft S,205
31,4152956,"Vitiugov, Nikita",GM,Russia,2726,,1987,,,SV Hockenheim,213
32,4158814,"Andreikin, Dmitry",GM,Russia,2725,,1990,,,,155
33,1118358,"Wojtaszek, Radoslaw",GM,Poland,2722,,1987,,,OSG Baden-Baden,249
34,4122356,"Jakovenko, Dmitry",GM,Russia,2719,,1983,,,SK Schwaebisch Hall,217
35,8602883,"Wang, Hao",GM,China,2718,,1989,,,,191
36,12401137,"Le, Quang Liem",GM,Vietnam,2715,,1991,,,,165
37,24130737,"Fedoseev, Vladimier",GM,Russia,2715,,1995,,,SV Hockenheim,169
38,5029465,"Vidit, Santosh Gujrathi",GM,India,2711,,1994,,,,133
39,4650891,"Naiditsch, Arkadij",GM,Azerbaijan,2710,,1985,,,OSG Baden-Baden,352
40,10601457,"Amin, Bassem",GM,Egypt,2709,,1988,,,SC Viernheim 1934 e.,185
41,400041,"Adams, Michael",GM,England,2708,,1971,,,OSG Baden-Baden,223
42,4147235,"Tomashevsky, Evgeny",GM,Russia,2705,,1987,,,SV Hockenheim,141
43,11000000008,"Tal, Mikhail",GM,Soviet Union,2705,,1936,i,,,0
44,14508150,"Saric, Ivan",GM,Croatia,2703,,1990,,,SV Hockenheim,245
45,24126055,"Dubov, Daniil",GM,Russia,2703,,1996,,,SAbt SV Werder Breme,144
46,13504398,"Kovalev, Vladislav",GM,Belarus,2703,,1994,,,Minsk,185
47,13401653,"Mamedov, Rauf",GM,Azerbaijan,2701,,1988,,,,185
48,8604436,"Li, Chao B",GM,China,2699,,1989,,,SK Schwaebisch Hall,184
49,2205530,"Vallejo Pons, Francisco",GM,Spain,2698,,1982,,,OSG Baden-Baden,226
50,14100010,"Ivanchuk, Vassily",GM,Ukraine,2698,,1969,,,DJK Aufwaerts St. Jo,271
51,2809052,"Nabaty, Tamir",GM,Israel,2697,,1991,,,,151
52,1610856,"Ragger, Markus",GM,Austria,2696,,1988,,,Schachgesellschaft S,306
53,1710400,"Grandelius, Nils",GM,Sweden,2694,,1993,,,Hamburger SK von 183,255
54,410608,"Howell, David W L",GM,England,2693,,1990,,,SV Hockenheim,200
55,4162722,"Inarkiev, Ernesto",GM,Russia,2692,,1985,,,SK Schwaebisch Hall,214
56,4168003,"Matlakov, Maxim",GM,Russia,2692,,1991,,,,173
57,13300881,"Sargissian, Gabriel",GM,Armenia,2689,,1983,,,,144
58,400173,"Sadler, Matthew D",GM,England,2688,,1974,,,,45
59,3802272,"Cori, Jorge",GM,Peru,2686,,1995,,,SC Emmendingen 1937,186
60,14105730,"Korobov, Anton",GM,Ukraine,2686,,1985,,,,163
61,8601429,"Wang, Yue",GM,China,2684,,1987,,,,185
62,8601160,"Ni, Hua",GM,China,2683,,1983,,,,205
63,2905540,"Cheparinov, Ivan",GM,Georgia,2683,,1986,,,SV Hockenheim,199
64,5018471,"Adhiban, B",GM,India,2683,,1992,,,,187
65,14102951,"Eljanov, Pavel",GM,Ukraine,2682,,1983,,,USV TU Dresden,199
66,409561,"Jones, Gawain C B",GM,England,2681,,1987,,,Muenchener SC 1836 e,255
67,605506,"Bacrot, Etienne",GM,France,2681,,1983,,,OSG Baden-Baden,253
68,14109182,"Kryvoruchko, Yuriy",GM,Ukraine,2680,,1986,,,SC Viernheim 1934 e.,209
69,702293,"Almasi, Zoltan",GM,Hungary,2680,,1976,,,USV TU Dresden,131
70,4160258,"Demchenko, Anton",GM,Russia,2678,,1987,,,Duesseldorfer Schach,94
71,5004985,"Sasikiran, Krishnan",GM,India,2678,,1981,,,,166
72,700070,"Polgar, Judit",GM,Hungary,2675,,1976,wi,,,66
73,702218,"Gyimesi, Zoltan",GM,Hungary,2674,,1977,i,,SC Eppingen,157
74,2806851,"Rodshtein, Maxim",GM,Israel,2673,,1989,,,SK Schwaebisch Hall,228
75,12539929,"Maghsoodloo, Parham",GM,Iran,2673,,2000,,,,98
76,9301348,"Salem, A R Saleh",GM,UAE,2672,,1993,,,,199
77,316385,"Laznicka, Viktor",GM,Czech Republic,2670,,1988,,,Novoborsky Sk,189
78,1202758,"Nisipeanu, Liviu-Dieter",GM,Germany,2670,,1976,,,USV TU Dresden,244
79,14103320,"Ponomariov, Ruslan",GM,Ukraine,2667,,1983,,,,127
80,2023970,"Robson, Ray",GM,USA,2667,,1994,,,Missouri,325
81,4120787,"Malakhov, Vladimir",GM,Russia,2667,,1980,,,SC Viernheim 1934 e.,178
82,4118987,"Najer, Evgeniy",GM,Russia,2667,,1977,,,Schachverein Wattens,199
83,2209390,"Shirov, Alexei",GM,Spain,2667,,1972,,,OSG Baden-Baden,284
84,4189302,"Sjugirov, Sanan",GM,Russia,2667,,1993,,,,173
85,2000024,"Kamsky, Gata",GM,USA,2666,,1974,,,New York,268
86,718572,"Berkes, Ferenc",GM,Hungary,2666,,1985,,,SC Eppingen,205
87,3503739,"Bruzon Batista, Lazaro",GM,Cuba,2666,,1982,,,BARBERA,219
88,112275,"Mareco, Sandro",GM,Argentina,2666,,1987,,,Capital,199
89,13401378,"Guseinov, Gadir",GM,Azerbaijan,2664,,1986,,,,172
90,14200244,"Kasimdzhanov, Rustam",GM,Uzbekistan,2663,,1979,,,OSG Baden-Baden,169
91,2047640,"Xiong, Jeffery",GM,USA,2663,,2000,,,,117
92,4100107,"Dreev, Aleksey",GM,Russia,2662,,1969,,,,199
93,13402129,"Safarli, Eltaj",GM,Azerbaijan,2662,,1992,,,,172
94,8602980,"Hou, Yifan",GM,China,2662,,1994,w,,,190
95,13302485,"Melkumyan, Hrant",GM,Armenia,2661,,1989,,,Schachfreunde Berlin,226
96,14109530,"Areshchenko, Alexander",GM,Ukraine,2661,,1986,,,SAbt SV Werder Breme,210
97,404853,"Mcshane, Luke J",GM,England,2661,,1984,,,SAbt SV Werder Breme,134
98,618438,"Tkachiev, Vladislav",GM,France,2660,,1973,i,,Schachgemeinschaft P,122
99,703303,"Leko, Peter",GM,Hungary,2660,,1979,,,,99
100,11000000006,"Botvinnik, Mikhail Moiseyevich",GM,Soviet Union,2660,,1911,i,,,0
